,date,sender,transaction_amount,balance,transaction_type
313,10-02-2014,Bob,177.99,177.99,deposit
314,10-02-2014,Eve,99.13,99.13,deposit
315,10-02-2014,David,421.3,-421.3,withdrawal
316,10-02-2014,David,516.27,516.27,deposit
317,10-02-2014,David,72.87,-72.87,withdrawal
318,11-02-2014,David,363.27,363.27,deposit
319,11-02-2014,David,27.98,27.98,deposit
320,11-02-2014,Alice,22.38,-22.38,withdrawal
321,11-02-2014,Eve,67.67,67.67,deposit
322,11-02-2014,Eve,59.77,-59.77,withdrawal
323,11-02-2014,Charlie,129.59,129.59,deposit
324,11-02-2014,Eve,73.06,73.06,deposit
325,11-02-2014,David,6.35,-6.35,withdrawal
326,12-02-2014,David,271.28,-271.28,withdrawal
327,12-02-2014,Alice,162.91,-162.91,withdrawal
328,12-02-2014,Alice,61.07,61.07,deposit
329,12-02-2014,Eve,57.74,-57.74,withdrawal
330,12-02-2014,David,265.5,-265.5,withdrawal
331,12-02-2014,David,263.28,263.28,deposit
332,12-02-2014,Bob,143.28,-143.28,withdrawal
333,12-02-2014,Eve,36.41,36.41,deposit
334,12-02-2014,Bob,64.96,64.96,deposit
335,12-02-2014,Alice,112.92,112.92,deposit
336,12-02-2014,Eve,306.54,-306.54,withdrawal
337,13-02-2014,Charlie,441.97,441.97,deposit
338,13-02-2014,Eve,0.27,-0.27,withdrawal
339,13-02-2014,Eve,18.23,18.23,deposit
340,13-02-2014,Alice,323.87,323.87,deposit
341,13-02-2014,Charlie,380.92,380.92,deposit
342,13-02-2014,Eve,84.15,-84.15,withdrawal
343,13-02-2014,Charlie,635.62,635.62,deposit
344,13-02-2014,David,71.78,-71.78,withdrawal
345,13-02-2014,Alice,109.54,-109.54,withdrawal
346,14-02-2014,Alice,111.3,111.3,deposit
347,14-02-2014,Bob,7.56,7.56,deposit
348,14-02-2014,Alice,28.57,28.57,deposit
349,14-02-2014,Bob,206.16,206.16,deposit
350,14-02-2014,Bob,165.02,-165.02,withdrawal
351,15-02-2014,Eve,34.96,-34.96,withdrawal
352,15-02-2014,Charlie,159.23,-159.23,withdrawal
353,15-02-2014,Bob,120.9,120.9,deposit
354,15-02-2014,Eve,26.04,-26.04,withdrawal
355,15-02-2014,Bob,219.19,-219.19,withdrawal
356,15-02-2014,David,4.14,-4.14,withdrawal
357,15-02-2014,Alice,27.02,27.02,deposit
358,15-02-2014,Alice,240.9,240.9,deposit
359,15-02-2014,Eve,150.09,-150.09,withdrawal
360,16-02-2014,David,28.35,28.35,deposit
361,16-02-2014,Charlie,406.99,-406.99,withdrawal
362,16-02-2014,Charlie,834.82,834.82,deposit
363,16-02-2014,David,205.6,205.6,deposit
364,16-02-2014,Charlie,39.75,-39.75,withdrawal
365,16-02-2014,David,66.24,66.24,deposit
366,16-02-2014,David,46.03,46.03,deposit
367,17-02-2014,Bob,392.02,-392.02,withdrawal
368,17-02-2014,Bob,84.64,-84.64,withdrawal
369,17-02-2014,David,134.66,134.66,deposit
370,17-02-2014,Bob,30.82,-30.82,withdrawal
371,17-02-2014,Charlie,25.24,25.24,deposit
372,18-02-2014,Eve,107.79,107.79,deposit
373,18-02-2014,Bob,443.81,-443.81,withdrawal
374,18-02-2014,Bob,68.44,68.44,deposit
375,18-02-2014,Charlie,510.11,-510.11,withdrawal
376,18-02-2014,David,94.35,94.35,deposit
377,18-02-2014,Charlie,123.41,-123.41,withdrawal
378,18-02-2014,Bob,198.8,198.8,deposit
379,18-02-2014,Charlie,401.23,401.23,deposit
380,18-02-2014,Alice,7.37,-7.37,withdrawal
381,19-02-2014,Bob,254.42,-254.42,withdrawal
382,19-02-2014,Charlie,220.96,220.96,deposit
383,19-02-2014,David,72.55,-72.55,withdrawal
384,19-02-2014,Alice,211.14,211.14,deposit
385,19-02-2014,David,92.83,-92.83,withdrawal
386,19-02-2014,Eve,304.19,304.19,deposit
387,19-02-2014,Eve,138.85,138.85,deposit
388,19-02-2014,Charlie,38.29,38.29,deposit
389,19-02-2014,Charlie,84.5,-84.5,withdrawal
390,20-02-2014,Eve,306.11,306.11,deposit
391,20-02-2014,Alice,37.83,-37.83,withdrawal
392,20-02-2014,Eve,96.38,-96.38,withdrawal
393,20-02-2014,David,176.26,-176.26,withdrawal
394,20-02-2014,Charlie,207.64,207.64,deposit
395,20-02-2014,Charlie,33.99,-33.99,withdrawal
396,20-02-2014,David,228.36,-228.36,withdrawal
397,20-02-2014,David,437.84,-437.84,withdrawal
398,21-02-2014,Eve,188.62,188.62,deposit
399,21-02-2014,Eve,1378.49,-1378.49,withdrawal
400,21-02-2014,Eve,148.56,148.56,deposit
401,21-02-2014,Charlie,30.38,30.38,deposit
402,21-02-2014,Alice,508.73,508.73,deposit
403,21-02-2014,David,31.87,-31.87,withdrawal
404,21-02-2014,Alice,142.28,-142.28,withdrawal
405,21-02-2014,Bob,22.43,-22.43,withdrawal
406,22-02-2014,David,59.44,59.44,deposit
407,22-02-2014,Charlie,190.16,190.16,deposit
408,22-02-2014,David,129.53,129.53,deposit
409,23-02-2014,Charlie,570.19,570.19,deposit
410,23-02-2014,Eve,312.93,-312.93,withdrawal
411,23-02-2014,Charlie,300.17,-300.17,withdrawal
412,23-02-2014,Alice,458.9,458.9,deposit
413,24-02-2014,David,226.79,226.79,deposit
414,24-02-2014,Eve,125.76,-125.76,withdrawal
415,24-02-2014,Bob,38.82,38.82,deposit
416,24-02-2014,Alice,279.8,-279.8,withdrawal
417,24-02-2014,Charlie,213.04,-213.04,withdrawal
418,24-02-2014,Eve,177.86,-177.86,withdrawal
419,24-02-2014,David,692.85,692.85,deposit
420,24-02-2014,Bob,184.67,184.67,deposit
421,24-02-2014,Charlie,243.57,243.57,deposit
422,24-02-2014,David,99.36,99.36,deposit
423,24-02-2014,Charlie,141.34,-141.34,withdrawal
424,24-02-2014,Eve,258.23,-258.23,withdrawal
425,24-02-2014,Charlie,156.56,-156.56,withdrawal
426,25-02-2014,Bob,38.63,38.63,deposit
427,25-02-2014,Charlie,539.74,-539.74,withdrawal
428,25-02-2014,Bob,16.03,16.03,deposit
429,25-02-2014,Alice,188.83,-188.83,withdrawal
430,25-02-2014,Bob,745.4,745.4,deposit
431,25-02-2014,Bob,260.29,-260.29,withdrawal
432,25-02-2014,Charlie,226.18,226.18,deposit
433,26-02-2014,Alice,219,-219,withdrawal
434,26-02-2014,Charlie,287.57,287.57,deposit
435,26-02-2014,Charlie,703.28,703.28,deposit
436,26-02-2014,Eve,313.85,313.85,deposit
437,26-02-2014,Charlie,1192.02,1192.02,deposit
438,26-02-2014,Bob,240.06,-240.06,withdrawal
439,27-02-2014,Eve,41.84,-41.84,withdrawal
440,27-02-2014,Eve,327.76,-327.76,withdrawal
441,27-02-2014,Bob,702.25,702.25,deposit
442,27-02-2014,Charlie,189.17,189.17,deposit
443,27-02-2014,Charlie,2.49,2.49,deposit
444,28-02-2014,Bob,774.68,774.68,deposit
445,28-02-2014,Charlie,55.71,-55.71,withdrawal
446,28-02-2014,David,202.32,202.32,deposit
447,28-02-2014,David,316.28,-316.28,withdrawal
448,28-02-2014,Bob,99.75,99.75,deposit
449,28-02-2014,Bob,135.1,-135.1,withdrawal
450,28-02-2014,Alice,106.8,106.8,deposit
451,28-02-2014,Charlie,53.5,53.5,deposit
452,28-02-2014,Eve,14.96,14.96,deposit
453,28-02-2014,Charlie,582.23,582.23,deposit
454,01-03-2014,Charlie,194.11,194.11,deposit
455,01-03-2014,Alice,203.02,203.02,deposit
456,01-03-2014,Charlie,364.54,364.54,deposit
457,01-03-2014,Alice,60.09,-60.09,withdrawal
458,01-03-2014,Charlie,535.24,535.24,deposit
459,01-03-2014,Bob,408.57,408.57,deposit
460,02-03-2014,Bob,142.63,-142.63,withdrawal
461,02-03-2014,Eve,288.25,288.25,deposit
462,02-03-2014,David,328.01,328.01,deposit
463,02-03-2014,Bob,93.7,-93.7,withdrawal
464,02-03-2014,Eve,215.72,215.72,deposit
465,02-03-2014,David,835.3,-835.3,withdrawal
466,02-03-2014,Charlie,159.8,-159.8,withdrawal
467,02-03-2014,Alice,383.97,383.97,deposit
468,02-03-2014,Eve,136.37,-136.37,withdrawal
469,03-03-2014,Alice,15.12,15.12,deposit
470,03-03-2014,Bob,289.17,-289.17,withdrawal
471,03-03-2014,David,217.33,-217.33,withdrawal
472,03-03-2014,Eve,11.82,11.82,deposit
473,03-03-2014,Eve,294.73,-294.73,withdrawal
474,03-03-2014,Bob,411.44,-411.44,withdrawal
475,03-03-2014,Alice,191.9,-191.9,withdrawal
476,03-03-2014,Bob,358.51,358.51,deposit
477,03-03-2014,Bob,103.31,103.31,deposit
478,04-03-2014,Eve,267.32,-267.32,withdrawal
479,04-03-2014,Alice,564.39,-564.39,withdrawal
480,04-03-2014,Bob,186.14,-186.14,withdrawal
481,04-03-2014,David,123.01,-123.01,withdrawal
482,04-03-2014,Alice,21.25,-21.25,withdrawal
483,04-03-2014,Eve,77.61,77.61,deposit
484,04-03-2014,Alice,23.02,23.02,deposit
485,04-03-2014,Charlie,155.28,155.28,deposit
486,04-03-2014,David,24.75,-24.75,withdrawal
487,04-03-2014,David,203.87,203.87,deposit
488,04-03-2014,Eve,325.91,-325.91,withdrawal
489,05-03-2014,Bob,542.06,-542.06,withdrawal
490,05-03-2014,Charlie,92.32,-92.32,withdrawal
491,05-03-2014,Bob,27.56,-27.56,withdrawal
492,05-03-2014,David,693.91,693.91,deposit
493,05-03-2014,Alice,29.99,29.99,deposit
494,05-03-2014,Charlie,130,130,deposit
495,06-03-2014,David,176.48,176.48,deposit
496,06-03-2014,Bob,884.36,884.36,deposit
497,06-03-2014,Charlie,38.2,38.2,deposit
498,06-03-2014,David,157.86,-157.86,withdrawal
499,06-03-2014,David,23.28,23.28,deposit
500,06-03-2014,David,148.58,-148.58,withdrawal
501,06-03-2014,Alice,441.08,441.08,deposit
502,07-03-2014,Charlie,10.06,10.06,deposit
503,07-03-2014,Eve,364.21,364.21,deposit
504,07-03-2014,Charlie,121.02,-121.02,withdrawal
505,07-03-2014,Bob,81.01,81.01,deposit
506,07-03-2014,Charlie,229.39,-229.39,withdrawal
507,07-03-2014,Eve,62.85,62.85,deposit
508,07-03-2014,Bob,23.15,-23.15,withdrawal
509,07-03-2014,Bob,15.87,-15.87,withdrawal
510,08-03-2014,Charlie,36.25,36.25,deposit
511,08-03-2014,David,9.1,9.1,deposit
512,08-03-2014,Eve,84.56,-84.56,withdrawal
513,08-03-2014,Charlie,161.45,161.45,deposit
514,08-03-2014,Charlie,599.85,-599.85,withdrawal
515,08-03-2014,Alice,70.53,-70.53,withdrawal
516,08-03-2014,Charlie,243.23,-243.23,withdrawal
517,08-03-2014,Eve,398.13,398.13,deposit
518,08-03-2014,Alice,44.07,-44.07,withdrawal
519,09-03-2014,Bob,313.59,-313.59,withdrawal
520,09-03-2014,Bob,780.33,780.33,deposit
521,09-03-2014,Charlie,161.37,-161.37,withdrawal
522,09-03-2014,Alice,21.28,21.28,deposit
523,09-03-2014,Bob,143.94,143.94,deposit
524,09-03-2014,Alice,360.17,360.17,deposit
525,09-03-2014,Bob,283.44,283.44,deposit
526,09-03-2014,Bob,182.34,182.34,deposit
527,09-03-2014,Eve,101.23,101.23,deposit
528,10-03-2014,Charlie,30.76,-30.76,withdrawal
529,10-03-2014,Eve,22.2,22.2,deposit
